Stanica;Oznaka pruge;Vrsta stanice;Status stanice;Putnici ul/iz;Roba ut/ist;Kategorija pruge;Broj perona;Vrsta pruge;Broj kolosjeka;DO po osovini;DO po duznom m;Status pruge;Dužina
Mučna-Reka;M201;kol.;O;DA;NE;M;1;E;1;22,5;8,0;I;7
Sokolovac;M201;staj.;O;DA;NE;M;1;E;1;22,5;8,0;I;5
Lepavina;M201;kol.;O;DA;DA;M;1;E;1;22,5;8,0;I;2
Carevdar;M201;staj.;O;DA;NE;M;1;E;1;22,5;8,0;I;7
Vojakovački Kloštar;M201;staj.;O;DA;NE;M;1;E;1;22,5;8,0;I;3
Majurec;M201;staj.;O;DA;NE;M;1;E;1;22,5;8,0;I;3
Križevci;M201;kol.;O;DA;DA;M;2;E;2;22,5;8,0;I;4
Repinec;M201;staj.;O;DA;NE;M;2;E;2;22,5;8,0;I;7
Gradec;M201;kol.;O;NE;DA;M;2;E;2;22,5;8,0;I;5
Vrbovec;M201;kol.;O;DA;DA;M;2;E;2;22,5;8,0;I;8
Božjakovina;M201;staj.;O;DA;NE;M;2;E;1;22,5;8,0;I;10
Dugo Selo;M201;kol.;O;DA;DA;M;2;E;1;22,5;8,0;I;6
;;;;;;;;;;;;;
Dugo Selo;M102;kol.;O;DA;DA;M;2;E;2;22,5;8,0;I;0
Sesvetski Kraljevec;M102;staj.;O;DA;NE;M;2;E;2;22,5;8,0;I;6
Sesvete;M102;kol.;O;DA;DA;M;2;E;2;22,5;8,0;I;4
Čulinec;M102;staj.;O;DA;NE;M;2;E;2;22,5;8,0;I;4
Trnava;M102;staj.;O;DA;NE;M;2;E;2;22,5;8,0;I;1
Maksimir;M102;staj.;O;DA;NE;M;2;E;2;22,5;8,0;I;1
Zagreb glavni kolodvor;M102;kol.;O;DA;DA;M;5;E;2;22,5;8,0;I;5
